id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
1906,บ้านหมอ,Ban Mo,ban-mo,1906,9,79,14.584,100.767
1913,เฉลิมพระเกียรติ,Chaloem Phra Kiat,chaloem-phra-kiat,1913,6,53,14.607,100.931
1907,ดอนพุด,Don Phut,don-phut,1907,4,28,14.596,100.621
1902,แก่งคอย,Kaeng Khoi,kaeng-khoi,1902,14,133,14.586,101.002
1911,มวกเหล็ก,Muak Lek,muak-lek,1911,6,80,14.932,101.309
1901,เมืองสระบุรี,Mueang Saraburi,mueang-saraburi,1901,11,106,14.529,100.886
1908,หนองโดน,Nong Don,nong-don,1908,4,34,14.730,100.684
1903,หนองแค,Nong Khae,nong-khae,1903,18,201,14.337,100.869
1905,หนองแซง,Nong Saeng,nong-saeng,1905,8,62,14.515,100.841
1909,พระพุทธบาท,Phra Phutthabat,phra-phutthabat,1909,8,86,14.713,100.831
1910,เสาไห้,Sao Hai,sao-hai,1910,12,102,14.565,100.848
1912,วังม่วง,Wang Muang,wang-muang,1912,3,31,14.818,101.132
1904,วิหารแดง,Wihan Daeng,wihan-daeng,1904,6,54,14.313,100.990
