id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
4002,บ้านฝาง,Ban Fang,ban-fang-4002,4002,7,16.367,102.573
4024,บ้านแฮด,Ban Haet,ban-haet-4024,4024,4,16.259,102.788
4010,บ้านไผ่,Ban Phai,ban-phai-4010,4010,10,16.035,102.723
4018,ชนบท,Chonnabot,chonnabot-4018,4018,8,16.115,102.623
4005,ชุมแพ,Chum Phae,chum-phae-4005,4005,12,16.514,102.14
4019,เขาสวนกวาง,Khao Suan Kwang,khao-suan-kwang-4019,4019,5,16.861,102.84
4022,โคกโพธิ์ไชย,Khok Pho Chai,khok-pho-chai-4022,4022,4,16.078,102.472
4009,กระนวน,Kranuan,kranuan-4009,4009,9,16.671,103.127
4017,มัญจาคีรี,Mancha Khiri,mancha-khiri-4017,4017,8,16.269,102.615
4001,เมืองขอนแก่น,Mueang Khon Kaen,mueang-khon-kaen-4001,4001,18,16.516,102.931
4012,พล,Mueang Phon,mueang-phon-4012,4012,12,15.879,102.556
4007,น้ำพอง,Nam Phong,nam-phong-4007,4007,12,16.728,102.862
4025,โนนศิลา,Non Sila,non-sila-4025,4025,5,16.005,102.687
4023,หนองนาคำ,Nong Na Kham,nong-na-kham-4023,4023,3,16.791,102.335
4004,หนองเรือ,Nong Ruea,nong-ruea-4004,4004,10,16.458,102.536
4015,หนองสองห้อง,Nong Song Hong,nong-song-hong-4015,4015,12,15.77,102.788
4003,พระยืน,Phra Yuen,phra-yuen-4003,4003,5,16.265,102.697
4020,ภูผาม่าน,Phu Pha Man,phu-pha-man-4020,4020,5,16.648,101.935
4016,ภูเวียง,Phu Wiang,phu-wiang-4016,4016,11,16.679,102.364
4011,เปือยน้อย,Pueai Noi,pueai-noi-4011,4011,4,15.85,102.895
4021,ซำสูง,Sam Sung,sam-sung-4021,4021,5,16.616,103.122
4006,สีชมพู,Si Chomphu,si-chomphu-4006,4006,10,16.688,102.091
4008,อุบลรัตน์,Ubolratana,ubolratana-4008,4008,6,16.731,102.676
4014,แวงน้อย,Waeng Noi,waeng-noi-4014,4014,6,15.735,102.397
4013,แวงใหญ่,Waeng Yai,waeng-yai-4013,4013,5,15.954,102.533
4026,เวียงเก่า,Wiang Kao,wiang-kao-4026,4026,3,16.723,102.33
