id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
5703,เชียงของ,Chiang Khong,chiang-khong-5703,5703,7,19.989,100.347
5708,เชียงแสน,Chiang Saen,chiang-saen-5708,5708,6,20.28,100.003
5718,ดอยหลวง,Doi Luang,doi-luang-5718,5718,3,20.181,100.124
5714,ขุนตาล,Khun Tan,khun-tan-5714,5714,3,19.847,100.272
5707,แม่จัน,Mae Chan,mae-chan-5707,5707,11,20.256,99.864
5715,แม่ฟ้าหลวง,Mae Fa Luang,mae-fa-luang-5715,5715,4,20.141,99.654
5716,แม่ลาว,Mae Lao,mae-lao-5716,5716,5,19.804,99.768
5709,แม่สาย,Mae Sai,mae-sai-5709,5709,8,20.431,99.913
5710,แม่สรวย,Mae Suai,mae-suai-5710,5710,7,19.63,99.524
5701,เมืองเชียงราย,Mueang Chiang Rai,mueang-chiang-rai-5701,5701,15,19.907,99.832
5705,พาน,Mueang Phan,mueang-phan-5705,5705,15,19.575,99.765
5706,ป่าแดด,Pa Daet,pa-daet-5706,5706,5,19.435,99.934
5712,พญาเม็งราย,Phaya Mengrai,phaya-mengrai-5712,5712,5,19.926,100.239
5704,เทิง,Thoeng,thoeng-5704,5704,10,19.717,100.18
5702,เวียงชัย,Wiang Chai,wiang-chai-5702,5702,5,19.904,99.974
5717,เวียงเชียงรุ้ง,Wiang Chiang Rung,wiang-chiang-rung-5717,5717,3,20.041,100.006
5713,เวียงแก่น,Wiang Kaen,wiang-kaen-5713,5713,4,20.042,100.52
5711,เวียงป่าเป้า,Wiang Pa Pao,wiang-pa-pao-5711,5711,7,19.241,99.525
