id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
2208,แก่งหางแมว,Kaeng Hang Maeo,kaeng-hang-maeo,2208,5,66,12.881,101.848
2202,ขลุง,Khlung,khlung,2202,12,101,12.288,102.251
2210,เขาคิชฌกูฏ,Khoa Khitchakut,khoa-khitchakut,2210,5,45,12.765,102.101
2206,แหลมสิงห์,Laem Sing,laem-sing,2206,7,65,12.465,102.066
2205,มะขาม,Makham,makham,2205,6,59,12.700,102.147
2201,เมืองจันทบุรี,Mueang Chanthaburi,mueang-chanthaburi,2201,11,118,12.611,102.105
2209,นายายอาม,Na Yai Am,na-yai-am,2209,6,67,12.701,101.933
2204,โป่งน้ำร้อน,Pong Nam Ron,pong-nam-ron,2204,5,47,13.044,102.453
2207,สอยดาว,Soi Dao,soi-dao,2207,5,70,13.174,102.371
2203,ท่าใหม่,Tha Mai,tha-mai,2203,14,132,12.512,101.950
