id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
6210,บึงสามัคคี,Bueng Samakkhi,bueng-samakkhi-6210,6210,4,16.158,99.941
6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,khanu-woralaksaburi-6204,6204,11,16.103,99.788
6205,คลองขลุง,Khlong Khlung,khlong-khlung-6205,6205,10,16.269,99.679
6203,คลองลาน,Khlong Lan,khlong-lan-6203,6203,4,16.324,99.348
6211,โกสัมพีนคร,Kosamphi Nakhon,kosamphi-nakhon-6211,6211,3,16.581,99.429
6207,ลานกระบือ,Lan Krabue,lan-krabue-6207,6207,7,16.521,99.974
6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,mueang-kamphaeng-phet-6201,6201,16,16.473,99.528
6209,ปางศิลาทอง,Pang Sila Thong,pang-sila-thong-6209,6209,3,16.052,99.426
6206,พรานกระต่าย,Phran Kratai,phran-kratai-6206,6206,10,16.666,99.742
6202,ไทรงาม,Sai Ngam,sai-ngam-6202,6202,7,16.452,99.827
6208,ทรายทองวัฒนา,Sai Thong Watthana,sai-thong-watthana-6208,6208,3,16.341,99.899
