id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
4406,บรบือ,Borabue,borabue-4406,4406,15,15.897,103.202
4405,เชียงยืน,Chiang Yuen,chiang-yuen-4405,4405,8,16.389,103.059
4413,ชื่นชม,Chuen Chom,chuen-chom-4413,4413,4,16.475,103.124
4402,แกดำ,Kae Dam,kae-dam-4402,4402,5,16.022,103.442
4404,กันทรวิชัย,Kantharawichai,kantharawichai-4404,4404,10,16.283,103.38
4403,โกสุมพิสัย,Kosum Phisai,kosum-phisai-4403,4403,17,16.216,103.142
4412,กุดรัง,Kud Rang,kud-rang-4412,4412,5,16.123,103.049
4401,เมืองมหาสารคาม,Mueang Maha Sarakham,mueang-maha-sarakham-4401,4401,14,16.162,103.484
4407,นาเชือก,Na Chueak,na-chueak-4407,4407,10,15.722,103.038
4410,นาดูน,Na Dun,na-dun-4410,4410,9,15.719,103.277
4408,พยัคฆภูมิพิสัย,Phayakkhaphum Phisai,phayakkhaphum-phisai-4408,4408,14,15.506,103.31
4409,วาปีปทุม,Wapi Pathum,wapi-pathum-4409,4409,15,15.852,103.312
4411,ยางสีสุราช,Yang Sisurat,yang-sisurat-4411,4411,7,15.649,103.146
