id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
4514,อาจสามารถ,At Samat,at-samat-4514,4514,9,15.865,103.925
4517,จังหาร,Changhan,changhan-4517,4517,8,16.204,103.543
4504,จตุรพักตรพิมาน,Chaturaphak Phiman,chaturaphak-phiman-4504,4504,12,15.901,103.599
4518,เชียงขวัญ,Chiang Khwan,chiang-khwan-4518,4518,6,16.128,103.741
4502,เกษตรวิสัย,Kaset Wisai,kaset-wisai-4502,4502,13,15.72,103.552
4515,เมยวดี,Moei Wadi,moei-wadi-4515,4515,4,16.416,104.123
4501,เมืองร้อยเอ็ด,Mueang Roi Et,mueang-roi-et-4501,4501,15,16.051,103.653
4512,เมืองสรวง,Mueang Suang,mueang-suang-4512,4512,5,15.817,103.755
4519,หนองฮี,Nong Hi,nong-hi-4519,4519,4,15.55,104.062
4509,หนองพอก,Nong Phok,nong-phok-4509,4509,9,16.331,104.289
4503,ปทุมรัตต์,Pathum Rat,pathum-rat-4503,4503,8,15.65,103.359
4506,พนมไพร,Phanom Phrai,phanom-phrai-4506,4506,13,15.6,104.139
4508,โพธิ์ชัย,Pho Chai,pho-chai-4508,4508,9,16.281,103.812
4513,โพนทราย,Phon Sai,phon-sai-4513,4513,5,15.443,103.971
4507,โพนทอง,Phon Thong,phon-thong-4507,4507,14,16.206,103.873
4510,เสลภูมิ,Selaphum,selaphum-4510,4510,18,16.024,103.921
4516,ศรีสมเด็จ,Si Somdet,si-somdet-4516,4516,8,15.973,103.535
4511,สุวรรณภูมิ,Suwannaphum,suwannaphum-4511,4511,15,15.604,103.898
4505,ธวัชบุรี,Thawat Buri,thawat-buri-4505,4505,12,16.099,103.767
4520,ทุ่งเขาหลวง,Thung Khao Luang,thung-khao-luang-4520,4520,5,16.039,103.889
