id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
2405,บ้านโพธิ์,Ban Pho,ban-pho-2405,2405,17,13.633,101.078
2402,บางคล้า,Bang Khla,bang-khla-2402,2402,9,13.722,101.21
2403,บางน้ำเปรี้ยว,Bang Nam Priao,bang-nam-priao-2403,2403,10,13.858,101.115
2404,บางปะกง,Bang Pakong,bang-pakong-2404,2404,12,13.527,101.054
2411,คลองเขื่อน,Khlong Khuean,khlong-khuean-2411,2411,5,13.721,101.15
2401,เมืองฉะเชิงเทรา,Mueang Chachoengsao,mueang-chachoengsao-2401,2401,19,13.707,101.1
2406,พนมสารคาม,Phanom Sarakham,phanom-sarakham-2406,2406,8,13.76,101.383
2409,แปลงยาว,Plaeng Yao,plaeng-yao-2409,2409,4,13.599,101.293
2407,ราชสาส์น,Ratchasan,ratchasan-2407,2407,3,13.788,101.278
2408,สนามชัยเขต,Sanam Chai Khet,sanam-chai-khet-2408,2408,4,13.644,101.461
2410,ท่าตะเกียบ,Tha Takiap,tha-takiap-2410,2410,2,13.508,101.639
